Authors;Title;Year;Volume;Issue;Start Page;End Page;Abstract;DOI;Author Keywords;Publication Title;Link;Database;Title_lower
Gerard T. Hogan;Pain Psychology;2025;Desconocido;Desconocido;Desconocido;Desconocido;Desconocido;https://doi.org/10.1016/j.cnur.2025.01.011;"Chronic pain; Central sensitization; Cognitive behavioral therapy; Fear avoidance; Biopsychosocial approach";Nursing Clinics of North America;https://www.sciencedirect.com/science/article/pii/S0029646525000131;ScienceDirect;pain psychology
Desconocido;Contents;2025;12;3;v;vi;Desconocido;https://doi.org/10.1016/S2352-0132(25)00062-6;Desconocido;International Journal of Nursing Sciences;https://www.sciencedirect.com/science/article/pii/S2352013225000626;ScienceDirect;contents
Aarathi Prasad;Boluwaji Ogunyemi: challenging the status quo for better health;2025;405;10478;534;Desconocido;Desconocido;https://doi.org/10.1016/S0140-6736(25)00249-1;Desconocido;The Lancet;https://www.sciencedirect.com/science/article/pii/S0140673625002491;ScienceDirect;boluwaji ogunyemi: challenging the status quo for better health
Stephany Ivonne {Briones Alvarado} and Katiuska Herminia {Liendo Martínez} and Huáscar {Galindo Guzman} and Francisco {Caballero Segura} and Fernando Pedraza;Granulomatous Lymphocytic Lung Interstitial Disease (GLILD): A Diagnostic Challenge. Report of Three Cases;2024;60;2;110;112;Desconocido;https://doi.org/10.1016/j.arbres.2023.12.003;Desconocido;Archivos de Bronconeumología;https://www.sciencedirect.com/science/article/pii/S0300289623004040;ScienceDirect;granulomatous lymphocytic lung interstitial disease (glild): a diagnostic challenge. report of three cases
Desconocido;Advisory Board and Contents;2023;29;12;i;ii;Desconocido;https://doi.org/10.1016/S1471-4914(23)00244-7;Desconocido;Trends in Molecular Medicine;https://www.sciencedirect.com/science/article/pii/S1471491423002447;ScienceDirect;advisory board and contents
Gerard T. Hogan;Pain Psychology;2025;Desconocido;Desconocido;Desconocido;Desconocido;Desconocido;https://doi.org/10.1016/j.cnur.2025.01.011;"Chronic pain; Central sensitization; Cognitive behavioral therapy; Fear avoidance; Biopsychosocial approach";Nursing Clinics of North America;https://www.sciencedirect.com/science/article/pii/S0029646525000131;ScienceDirect;pain psychology
Mohammad Amin Roshani and Xiangyu Zhou and Yao Qiang and Srinivasan Suresh and Steven Hicks and Usha Sethuraman and Dongxiao Zhu;Generative Large Language Model—Powered Conversational AI App for Personalized Risk Assessment: Case Study in COVID-19;2025;4;Desconocido;Desconocido;Desconocido;"Background
Large language models (LLMs) have demonstrated powerful capabilities in natural language tasks and are increasingly being integrated into health care for tasks like disease risk assessment. Traditional machine learning methods rely on structured data and coding, limiting their flexibility in dynamic clinical environments. This study presents a novel approach to disease risk assessment using generative LLMs through conversational artificial intelligence (AI), eliminating the need for programming.
Objective
This study evaluates the use of pretrained generative LLMs, including LLaMA2-7b and Flan-T5-xl, for COVID-19 severity prediction with the goal of enabling a real-time, no-code, risk assessment solution through chatbot-based, question-answering interactions. To contextualize their performance, we compare LLMs with traditional machine learning classifiers, such as logistic regression, extreme gradient boosting (XGBoost), and random forest, which rely on tabular data.
Methods
We fine-tuned LLMs using few-shot natural language examples from a dataset of 393 pediatric patients, developing a mobile app that integrates these models to provide real-time, no-code, COVID-19 severity risk assessment through clinician-patient interaction. The LLMs were compared with traditional classifiers across different experimental settings, using the area under the curve (AUC) as the primary evaluation metric. Feature importance derived from LLM attention layers was also analyzed to enhance interpretability.
Results
Generative LLMs demonstrated strong performance in low-data settings. In zero-shot scenarios, the T0-3b-T model achieved an AUC of 0.75, while other LLMs, such as T0pp(8bit)-T and Flan-T5-xl-T, reached 0.67 and 0.69, respectively. At 2-shot settings, logistic regression and random forest achieved an AUC of 0.57, while Flan-T5-xl-T and T0-3b-T obtained 0.69 and 0.65, respectively. By 32-shot settings, Flan-T5-xl-T reached 0.70, similar to logistic regression (0.69) and random forest (0.68), while XGBoost improved to 0.65. These results illustrate the differences in how generative LLMs and traditional models handle the increasing data availability. LLMs perform well in low-data scenarios, whereas traditional models rely more on structured tabular data and labeled training examples. Furthermore, the mobile app provides real-time, COVID-19 severity assessments and personalized insights through attention-based feature importance, adding value to the clinical interpretation of the results.
Conclusions
Generative LLMs provide a robust alternative to traditional classifiers, particularly in scenarios with limited labeled data. Their ability to handle unstructured inputs and deliver personalized, real-time assessments without coding makes them highly adaptable to clinical settings. This study underscores the potential of LLM-powered conversational artificial intelligence (AI) in health care and encourages further exploration of its use for real-time, disease risk assessment and decision-making support.";https://doi.org/10.2196/67363;"personalized risk assessment; large language model; conversational AI; artificial intelligence; COVID-19";JMIR AI;https://www.sciencedirect.com/science/article/pii/S2817170525000213;ScienceDirect;generative large language model—powered conversational ai app for personalized risk assessment: case study in covid-19
Anna Guillaumet;The power of generative AI for CRIS systems: a new paradigm for scientific information management;2024;249;Desconocido;131;149;The paper analyses the implications of the emergence of artificial intelligence (AI), especially generative AI, on current research information systems (CRIS). It reviews the recent European regulations for high-risk AI systems, the Spanish AI strategy, and the IntelComp project as use cases. The study found that the maturity of CRIS systems, coupled with the increasing complexity due to data aggregation, sets the stage for innovative AI applications. The paper proposes key domains where AI can impact and be applied in CRIS, including data management, research assessment, and advanced analytics. It also provides examples of how generative AI can be leveraged to enhance scientific information management within CRIS. The findings highlight the need to ensure the responsible and ethical development of AI technologies in the research domain.;https://doi.org/10.1016/j.procs.2024.11.057;"CRIS; AI; GenerativeAI; euroCRIS; FECYT; DRIS; OpenAccess; Research; CERIF; FAIR; AI-Act; ENIA; Sandbox; Law; Regulations; Standards; ethics";Procedia Computer Science;https://www.sciencedirect.com/science/article/pii/S187705092403268X;ScienceDirect;the power of generative ai for cris systems: a new paradigm for scientific information management
Desconocido;Table of Content;2025;22;2;A1;A4;Desconocido;https://doi.org/10.1016/S1546-1440(25)00039-0;Desconocido;Journal of the American College of Radiology;https://www.sciencedirect.com/science/article/pii/S1546144025000390;ScienceDirect;table of content
Chedva Levin and Tehilla Kagan and Shani Rosen and Mor Saban;An evaluation of the capabilities of language models and nurses in providing neonatal clinical decision support;2024;155;Desconocido;104771;Desconocido;"Aim
To assess the clinical reasoning capabilities of two large language models, ChatGPT-4 and Claude-2.0, compared to those of neonatal nurses during neonatal care scenarios.
Design
A cross-sectional study with a comparative evaluation using a survey instrument that included six neonatal intensive care unit clinical scenarios.
Participants
32 neonatal intensive care nurses with 5–10 years of experience working in the neonatal intensive care units of three medical centers.
Methods
Participants responded to 6 written clinical scenarios. Simultaneously, we asked ChatGPT-4 and Claude-2.0 to provide initial assessments and treatment recommendations for the same scenarios. The responses from ChatGPT-4 and Claude-2.0 were then scored by certified neonatal nurse practitioners for accuracy, completeness, and response time.
Results
Both models demonstrated capabilities in clinical reasoning for neonatal care, with Claude-2.0 significantly outperforming ChatGPT-4 in clinical accuracy and speed. However, limitations were identified across the cases in diagnostic precision, treatment specificity, and response lag.
Conclusions
While showing promise, current limitations reinforce the need for deep refinement before ChatGPT-4 and Claude-2.0 can be considered for integration into clinical practice. Additional validation of these tools is important to safely leverage this Artificial Intelligence technology for enhancing clinical decision-making.
Impact
The study provides an understanding of the reasoning accuracy of new Artificial Intelligence models in neonatal clinical care. The current accuracy gaps of ChatGPT-4 and Claude-2.0 need to be addressed prior to clinical usage.";https://doi.org/10.1016/j.ijnurstu.2024.104771;"Artificial Intelligence; ChatGPT; Claude; Clinical reasoning; Neonatal care";International Journal of Nursing Studies;https://www.sciencedirect.com/science/article/pii/S002074892400083X;ScienceDirect;an evaluation of the capabilities of language models and nurses in providing neonatal clinical decision support
Jin Ge and Michael Li and Molly B. Delk and Jennifer C. Lai;A Comparison of a Large Language Model vs Manual Chart Review for the Extraction of Data Elements From the Electronic Health Record;2024;166;4;707;709.e3;Desconocido;https://doi.org/10.1053/j.gastro.2023.12.019;Desconocido;Gastroenterology;https://www.sciencedirect.com/science/article/pii/S0016508523056846;ScienceDirect;a comparison of a large language model vs manual chart review for the extraction of data elements from the electronic health record
Mohammad Amin Roshani and Xiangyu Zhou and Yao Qiang and Srinivasan Suresh and Steven Hicks and Usha Sethuraman and Dongxiao Zhu;Generative Large Language Model—Powered Conversational AI App for Personalized Risk Assessment: Case Study in COVID-19;2025;4;Desconocido;Desconocido;Desconocido;"Background
Large language models (LLMs) have demonstrated powerful capabilities in natural language tasks and are increasingly being integrated into health care for tasks like disease risk assessment. Traditional machine learning methods rely on structured data and coding, limiting their flexibility in dynamic clinical environments. This study presents a novel approach to disease risk assessment using generative LLMs through conversational artificial intelligence (AI), eliminating the need for programming.
Objective
This study evaluates the use of pretrained generative LLMs, including LLaMA2-7b and Flan-T5-xl, for COVID-19 severity prediction with the goal of enabling a real-time, no-code, risk assessment solution through chatbot-based, question-answering interactions. To contextualize their performance, we compare LLMs with traditional machine learning classifiers, such as logistic regression, extreme gradient boosting (XGBoost), and random forest, which rely on tabular data.
Methods
We fine-tuned LLMs using few-shot natural language examples from a dataset of 393 pediatric patients, developing a mobile app that integrates these models to provide real-time, no-code, COVID-19 severity risk assessment through clinician-patient interaction. The LLMs were compared with traditional classifiers across different experimental settings, using the area under the curve (AUC) as the primary evaluation metric. Feature importance derived from LLM attention layers was also analyzed to enhance interpretability.
Results
Generative LLMs demonstrated strong performance in low-data settings. In zero-shot scenarios, the T0-3b-T model achieved an AUC of 0.75, while other LLMs, such as T0pp(8bit)-T and Flan-T5-xl-T, reached 0.67 and 0.69, respectively. At 2-shot settings, logistic regression and random forest achieved an AUC of 0.57, while Flan-T5-xl-T and T0-3b-T obtained 0.69 and 0.65, respectively. By 32-shot settings, Flan-T5-xl-T reached 0.70, similar to logistic regression (0.69) and random forest (0.68), while XGBoost improved to 0.65. These results illustrate the differences in how generative LLMs and traditional models handle the increasing data availability. LLMs perform well in low-data scenarios, whereas traditional models rely more on structured tabular data and labeled training examples. Furthermore, the mobile app provides real-time, COVID-19 severity assessments and personalized insights through attention-based feature importance, adding value to the clinical interpretation of the results.
Conclusions
Generative LLMs provide a robust alternative to traditional classifiers, particularly in scenarios with limited labeled data. Their ability to handle unstructured inputs and deliver personalized, real-time assessments without coding makes them highly adaptable to clinical settings. This study underscores the potential of LLM-powered conversational artificial intelligence (AI) in health care and encourages further exploration of its use for real-time, disease risk assessment and decision-making support.";https://doi.org/10.2196/67363;"personalized risk assessment; large language model; conversational AI; artificial intelligence; COVID-19";JMIR AI;https://www.sciencedirect.com/science/article/pii/S2817170525000213;ScienceDirect;generative large language model—powered conversational ai app for personalized risk assessment: case study in covid-19
Guohao Zhang and Chuanyang Liu and Wenying Li and Jiajie Lu and Ang Li and Lingyun Zhu;Beyond evolution: De novo designed protein toolkit rewriting the rules of synthetic biology;2025;Desconocido;Desconocido;Desconocido;Desconocido;Artificial intelligence (AI)-driven de novo protein design is revolutionizing synthetic biology by facilitating the first-principle rational engineering of protein-based functional modules unbound by known structural templates and evolutionary constraints, enabling a diverse range of applications. Expressing these novel, structurally unprecedented proteins within cellular systems inherently adds complexity to their functional unpredictability. Robust biosafety and bioethics evaluations are therefore required to address potential risks such as immune reactions, cellular pathway disruptions, and environmental persistence. We systematically analyse the computational frameworks underpinning this revolution and highlight the capability of de novo proteins to act as a modular toolkit for synthetic biology. Looking forward, we envision integrating closed-loop validation with multi-omics profiling for comprehensive risk assessments along with a hierarchical design framework for advancing the future of synthetic biology – from the creation of tailored de novo functional protein modules and structure-guided rational genetic circuits design to the development of full-synthetic cellular systems, thereby establishing a scalable path from protein design to system-level implementation.;https://doi.org/10.1016/j.bsheal.2025.09.004;" protein design; Synthetic biology; Biosafety";Biosafety and Health;https://www.sciencedirect.com/science/article/pii/S2590053625001314;ScienceDirect;beyond evolution: de novo designed protein toolkit rewriting the rules of synthetic biology
Anna Guillaumet;The power of generative AI for CRIS systems: a new paradigm for scientific information management;2024;249;Desconocido;131;149;The paper analyses the implications of the emergence of artificial intelligence (AI), especially generative AI, on current research information systems (CRIS). It reviews the recent European regulations for high-risk AI systems, the Spanish AI strategy, and the IntelComp project as use cases. The study found that the maturity of CRIS systems, coupled with the increasing complexity due to data aggregation, sets the stage for innovative AI applications. The paper proposes key domains where AI can impact and be applied in CRIS, including data management, research assessment, and advanced analytics. It also provides examples of how generative AI can be leveraged to enhance scientific information management within CRIS. The findings highlight the need to ensure the responsible and ethical development of AI technologies in the research domain.;https://doi.org/10.1016/j.procs.2024.11.057;"CRIS; AI; GenerativeAI; euroCRIS; FECYT; DRIS; OpenAccess; Research; CERIF; FAIR; AI-Act; ENIA; Sandbox; Law; Regulations; Standards; ethics";Procedia Computer Science;https://www.sciencedirect.com/science/article/pii/S187705092403268X;ScienceDirect;the power of generative ai for cris systems: a new paradigm for scientific information management
Desconocido;Table of Content;2025;22;2;A1;A4;Desconocido;https://doi.org/10.1016/S1546-1440(25)00039-0;Desconocido;Journal of the American College of Radiology;https://www.sciencedirect.com/science/article/pii/S1546144025000390;ScienceDirect;table of content
Chedva Levin and Tehilla Kagan and Shani Rosen and Mor Saban;An evaluation of the capabilities of language models and nurses in providing neonatal clinical decision support;2024;155;Desconocido;104771;Desconocido;"Aim
To assess the clinical reasoning capabilities of two large language models, ChatGPT-4 and Claude-2.0, compared to those of neonatal nurses during neonatal care scenarios.
Design
A cross-sectional study with a comparative evaluation using a survey instrument that included six neonatal intensive care unit clinical scenarios.
Participants
32 neonatal intensive care nurses with 5–10 years of experience working in the neonatal intensive care units of three medical centers.
Methods
Participants responded to 6 written clinical scenarios. Simultaneously, we asked ChatGPT-4 and Claude-2.0 to provide initial assessments and treatment recommendations for the same scenarios. The responses from ChatGPT-4 and Claude-2.0 were then scored by certified neonatal nurse practitioners for accuracy, completeness, and response time.
Results
Both models demonstrated capabilities in clinical reasoning for neonatal care, with Claude-2.0 significantly outperforming ChatGPT-4 in clinical accuracy and speed. However, limitations were identified across the cases in diagnostic precision, treatment specificity, and response lag.
Conclusions
While showing promise, current limitations reinforce the need for deep refinement before ChatGPT-4 and Claude-2.0 can be considered for integration into clinical practice. Additional validation of these tools is important to safely leverage this Artificial Intelligence technology for enhancing clinical decision-making.
Impact
The study provides an understanding of the reasoning accuracy of new Artificial Intelligence models in neonatal clinical care. The current accuracy gaps of ChatGPT-4 and Claude-2.0 need to be addressed prior to clinical usage.";https://doi.org/10.1016/j.ijnurstu.2024.104771;"Artificial Intelligence; ChatGPT; Claude; Clinical reasoning; Neonatal care";International Journal of Nursing Studies;https://www.sciencedirect.com/science/article/pii/S002074892400083X;ScienceDirect;an evaluation of the capabilities of language models and nurses in providing neonatal clinical decision support
Jin Ge and Michael Li and Molly B. Delk and Jennifer C. Lai;A Comparison of a Large Language Model vs Manual Chart Review for the Extraction of Data Elements From the Electronic Health Record;2024;166;4;707;709.e3;Desconocido;https://doi.org/10.1053/j.gastro.2023.12.019;Desconocido;Gastroenterology;https://www.sciencedirect.com/science/article/pii/S0016508523056846;ScienceDirect;a comparison of a large language model vs manual chart review for the extraction of data elements from the electronic health record
Mengyao Yan and Wendi Sun and Cheng Tan and Yibo Wu and Yuanli Liu;Analysis of Factors Influencing the Willingness of Chinese Older Adults to Use mHealth Devices: Nationwide Cross-Sectional Survey Study;2025;27;Desconocido;Desconocido;Desconocido;"Background
In addition to standard older adult care services, mobile medical devices have proved to be an effective tool for controlling the health of older adults. However, little is known about the variables driving the acceptance of these gadgets and the willingness of older adults in China to use them.
Objective
This study aims to explore the factors that affect the use of mobile health (mHealth) devices by older adults in China, focusing on individual, social, and family influences.
Methods
The Psychology and Behavior Investigation of Chinese Residents survey database provided the data for this study. The survey was conducted in 148 Chinese cities between June 20 and August 31, 2022. The parameters linked to older persons’ desire to use mobile medical devices were determined by this study using a combination model of multiple stepwise linear regression and a classification and regression tree decision tree.
Results
In total, 4085 older adults took part in the poll. On a scale of 0 to 100, the average score for willingness to adopt mHealth devices was 63.70 (SD 25.11). The results of the multiple stepwise linear regression showed that having a postgraduate degree and higher (β=.040; P=.007), being unemployed (β=.037; P=.02), having a high social status (β=.085; P<.001), possessing high health literacy (β=.089; P<.001), demonstrating high self-efficacy (β=.043; P=.02), not living with children (β=.0340; P=.02), having a household per capita monthly income of >Y4000 (US $550) (β=.048; P=.002), experiencing high perceived social support (β=.096; P<.001), reporting a high quality of life (β=.149; P<.001), having higher levels of family communication (β=–.071; P<.001), having an identity bubble (β=.085; P<.001), not having chronic diseases (β=.049; P=.001), and experiencing mild depression (β=–.035; P=.02) were associated with older adults’ willingness to use mHealth devices. The classification and regression tree decision tree model’s findings demonstrated that the primary determinants of older adults’ desire to use mHealth devices are quality of life, identity bubble, social status, health literacy, family health, and perceived social support.
Conclusions
This study uses the Andersen Healthcare Utilization Model to investigate the effects of demand variables, enabling resources, and predisposing traits on older persons’ propensity to use mHealth devices. These results offer reference data for the marketing and use of mHealth devices for older individuals in the future. The ultimate goal of this strategy is to create a balanced and harmonious integration of technology and humanistic care.";https://doi.org/10.2196/66804;"older adults; mobile health devices; health management; medical services; mobile phone";Journal of Medical Internet Research;https://www.sciencedirect.com/science/article/pii/S1438887125003048;ScienceDirect;analysis of factors influencing the willingness of chinese older adults to use mhealth devices: nationwide cross-sectional survey study
Jonathan Kantor;Best practices for implementing ChatGPT, large language models, and artificial intelligence in qualitative and survey-based research;2024;14;Desconocido;22;23;Desconocido;https://doi.org/10.1016/j.jdin.2023.10.001;"AI; annotation; artificial intelligence; ChatGPT; factor analysis; focus group; Google Bard; GPT-4; large language models; LLM; medical education; Microsoft Bing; natural language processing; NLP; practice management; prompt engineering; QDA; qualitative research; qualitative data analysis software";JAAD International;https://www.sciencedirect.com/science/article/pii/S2666328723001578;ScienceDirect;best practices for implementing chatgpt, large language models, and artificial intelligence in qualitative and survey-based research
Aimery Sabelle and Julien Berhouet and Adrien Lemaignen and Louis-Romée {Le Nail} and Ramy Samargandi;Results of the Girdlestone Procedure for the Treatment of Refractory Hip Prosthesis Infections;2025;Desconocido;Desconocido;104313;Desconocido;"Introduction
Refractory prosthetic joint infections (PJI) of the hip remain a major challenge in orthopedic surgery. The Girdlestone procedure, also known as resection arthroplasty, was originally described for native hips but has since been adopted as a salvage option for complex and recurrent prosthetic infections. The main objective of this study was to evaluate the effectiveness of this procedure in treating prosthetic hip infections in this context.
Materials and methods
Eighty-eight patients (91 hips) who underwent femoral resection arthroplasty for refractory hip prosthesis infection between March 2004 and August 2019 were retrospectively included and analyzed as part of a single-center study with a minimum follow-up of two years. The primary outcome was infection eradication. Secondary outcomes included the incidence of treatment failure and the nature of postoperative complications. Risk factors for failure were identified using a Cox proportional hazards model. Bacteriological data and functional outcomes were also reported.
Results
Out of 91 hips, infection eradication was achieved in 65 cases (71%) following Girdlestone procedure. Six postoperative deaths related to infection occurred (6/88, 7%). In 20 out of 91 hips (22%), one or more revision surgeries were performed for persistent infection after implant removal. Among these, infection control was achieved in 10/20 (50%). Multivariate analysis identified corticosteroid use (HR = 6; p < 0.01), preoperative fever (HR = 4.12; p < 0.01), and polymicrobial infection (HR = 2.5; p < 0.05) as independent risk factors for failure. The mean limb shortening was 5.7 (±1.7) cm, and the average walking distance was 175 (±350) meters. The mean Merle d’Aubigné and Postel score at final follow-up was 9.3 (±2.2) out of 18.
Conclusion
Definitive removal of the hip prosthesis remains a viable therapeutic option in refractory infections, despite a substantial complication rate. It should be considered, particularly when the prosthesis is no longer functional.
Level of evidence
IV; Retrospective case series.";https://doi.org/10.1016/j.otsr.2025.104313;"Periprosthetic infection; Total hip arthroplasty; Girdlestone; Resection arthroplasty";Orthopaedics & Traumatology: Surgery & Research;https://www.sciencedirect.com/science/article/pii/S1877056825001628;ScienceDirect;results of the girdlestone procedure for the treatment of refractory hip prosthesis infections
Chengze Zeng;The role of growth mindset, self-efficacy, and environmental support in ICT practices for creative thinking development;2025;132;Desconocido;102631;Desconocido;Creativity is regarded as an essential skill of the 21st century. In technological advancement, fostering students’ creativity is particularly crucial. This study examines how creative growth mindsets, Information and Communication Technologies (ICT) self-efficacy, creative environments, ICT availability, and ICT information practices influence creative self-efficacy (CSE) and creative thinking. The study conducted path analyses on 16,148 secondary school students in Hong Kong, Macau, and Taiwan, China in PISA 2022. The results showed that growth mindsets, ICT self-efficacy, and creative environments can directly promote their creative self-efficacy and thinking, while school environments negatively impact creative thinking. Besides, online information practices mediate the relationship between predictors, CSE, and creative thinking. However, ICT feedback and support do not serve as mediators for creative thinking. ICT availability at school positively affects CSE through ICT feedback, while ICT availability outside of school has a negative effect. This study highlights the combined influence of individual traits, behaviors, and external environments on students’ creative thinking, providing valuable insights for educators to take a holistic approach to fostering student development.;https://doi.org/10.1016/j.ijer.2025.102631;"Creative thinking; Creative self-efficacy; Creative environments; ICT self-efficacy; ICT information practices; PISA 2022";International Journal of Educational Research;https://www.sciencedirect.com/science/article/pii/S0883035525001053;ScienceDirect;the role of growth mindset, self-efficacy, and environmental support in ict practices for creative thinking development
Guohao Zhang and Chuanyang Liu and Wenying Li and Jiajie Lu and Ang Li and Lingyun Zhu;Beyond evolution: De novo designed protein toolkit rewriting the rules of synthetic biology;2025;Desconocido;Desconocido;Desconocido;Desconocido;Artificial intelligence (AI)-driven de novo protein design is revolutionizing synthetic biology by facilitating the first-principle rational engineering of protein-based functional modules unbound by known structural templates and evolutionary constraints, enabling a diverse range of applications. Expressing these novel, structurally unprecedented proteins within cellular systems inherently adds complexity to their functional unpredictability. Robust biosafety and bioethics evaluations are therefore required to address potential risks such as immune reactions, cellular pathway disruptions, and environmental persistence. We systematically analyse the computational frameworks underpinning this revolution and highlight the capability of de novo proteins to act as a modular toolkit for synthetic biology. Looking forward, we envision integrating closed-loop validation with multi-omics profiling for comprehensive risk assessments along with a hierarchical design framework for advancing the future of synthetic biology – from the creation of tailored de novo functional protein modules and structure-guided rational genetic circuits design to the development of full-synthetic cellular systems, thereby establishing a scalable path from protein design to system-level implementation.;https://doi.org/10.1016/j.bsheal.2025.09.004;" protein design; Synthetic biology; Biosafety";Biosafety and Health;https://www.sciencedirect.com/science/article/pii/S2590053625001314;ScienceDirect;beyond evolution: de novo designed protein toolkit rewriting the rules of synthetic biology
Kelci C. Davis and Nicholas Kavish and Jaime L. Anderson;The personal cost of psychopathy: Impacts of triarchic psychopathy traits on impairment, internalizing, and life satisfaction;2024;219;Desconocido;112507;Desconocido;"Although psychopathic traits have long been acknowledged as a public health concern, a growing body of evidence suggests there is a significant personal cost to living with psychopathy. However, much of the current literature on psychopathy impairment appears mixed in findings, varying by the traits examined and measured outcomes. The current paper aims to contribute to this field of research by examining how a triarchic model of psychopathy relates to a wide variety of potential consequences, including impairment, personality functioning, interpersonal functioning, internalizing, and perceived quality of life. Through two studies utilizing the Triarchic psychopathy model in undergraduate samples, significant psychopathy impairment was identified. Broadly, disinhibition was related to the most significant impairments across functioning domains. Boldness was more variable and elicited both positive (e.g., higher quality of life, lower self-harm) and negative (impairments in empathy and intimacy) outcomes. Meanness was primarily related to interpersonal difficulties; however, differences in measuring meanness led to different findings on its connection to personality functioning. By better understanding the consequences of psychopathy and how they vary by dimensional traits, interventions can be better tailored to alleviate both individual and societal suffering.";https://doi.org/10.1016/j.paid.2023.112507;"Psychopathy; Personality psychopathology; Triarchic model; Impairment; Internalizing; Quality of life";Personality and Individual Differences;https://www.sciencedirect.com/science/article/pii/S0191886923004300;ScienceDirect;the personal cost of psychopathy: impacts of triarchic psychopathy traits on impairment, internalizing, and life satisfaction
Cathleen Biga and B. Hadley Wilson;Realizing Our Vision: ACC’s Next 5-Year Strategic Plan;2024;83;15;1489;1491;Desconocido;https://doi.org/10.1016/j.jacc.2024.03.366;Desconocido;Journal of the American College of Cardiology;https://www.sciencedirect.com/science/article/pii/S0735109724009148;ScienceDirect;realizing our vision: acc’s next 5-year strategic plan
Hao Fong Sit and Wen Chen and Dan Wu and Yangmu Huang and Dong (Roman) Xu and Brian J Hall;Digital mental health: a potential opportunity to improve health equity in China;2024;9;12;e1136;e1141;"Summary
Mental health is an important public health issue in China, compounded by a shortage in psychiatric services. Against this backdrop, digital technologies could offer solutions. Digital mental health interventions use technologies, such as smartphone applications, to improve mental health outcomes. Although there has been a drastic increase in mental health mobile apps available in recent years, current evidence-based digital interventions for mental health are scarce and seldom evaluated for effectiveness and implementation in China. In this Viewpoint, we review digital mental health interventions in China and propose a framework that could guide the development of culturally sensitive digital mental health innovations, with the adoption of co-creation and community engagement strategies. We also provide recommendations to address issues related to usage, interventions, and implementation to improve health equity and implementation of digital mental health interventions in the Chinese context.";https://doi.org/10.1016/S2468-2667(24)00249-4;Desconocido;The Lancet Public Health;https://www.sciencedirect.com/science/article/pii/S2468266724002494;ScienceDirect;digital mental health: a potential opportunity to improve health equity in china
Rasmus Haunstrup Døssing and Julia Johanna {Almer Bromann} and Karina Seierøe and Estrid Høgdall and Tim Svenstrup Poulsen and Jakob Hagen {Vasehus Schou} and Dan Høgdall;The value of MMR characterization and efficacy of checkpoint inhibitor in patients with small-bowel adenocarcinomas. A retrospective real-world cohort study;2025;Desconocido;Desconocido;100030;Desconocido;"Background
Small bowel adenocarcinoma (SBA) is a rare gastrointestinal malignancy with poor prognosis and limited treatment options. Given its rarity, clinical management often mirrors colorectal cancer dCRC), despite distinct molecular features and inferior outcomes. Although checkpoint inhibitor (CPI) therapy has shown efficacy in mismatch repair-deficient (dMMR) CRC, data in SBA remain scarce, and MMR testing is not routinely implemented.
Methods
We conducted a retrospective study of SBA patients treated with CPI at Copenhagen University Hospital – Herlev between March 2019 and January 2024. Radiological responses were assessed using RECIST v1.1. We also analyzed the frequency of MMR testing and dMMR status in SBA patients.
Results
Among 148 SBA patients, seven received CPI therapy. The objective response rate (ORR) was 86%, with one (14%) complete response (CR) and five (71%) partial responses (PR). Median progression-free survival (mPFS) was 31 months (mFU:32 months); median overall survival (mOS) was not reached (mFU: 33 months). Overall, 55% underwent MMR testing, and 18% of SBA patients were dMMR.
Conclusion
CPI therapy yields high, durable response rates in dMMR SBA, supporting dMMR as a predictive biomarker. However, inconsistent MMR testing strategy may limit access to optimal treatment. Routine molecular profiling and broader biomarker discovery are key to expanding CPI eligibility and improving outcomes.";https://doi.org/10.1016/j.esmorc.2025.100030;"Small bowel adenocarcinoma; mismatch repair-deficient; MMR testing; Checkpoint inhibitors";ESMO Rare Cancers;https://www.sciencedirect.com/science/article/pii/S3050461925000292;ScienceDirect;the value of mmr characterization and efficacy of checkpoint inhibitor in patients with small-bowel adenocarcinomas. a retrospective real-world cohort study
